task_id,required_skill,difficulty_level,deadline_hours,priority
0,Python,1,56,1
1,Cloud,3,2,2
2,Web,4,54,3
3,ML,5,1,3
4,Python,2,53,2
5,Python,4,55,3
6,Data,3,17,3
7,Python,5,70,2
8,Web,3,16,1
9,Data,1,59,2
10,Python,5,3,3
11,Web,4,19,2
12,Cloud,3,19,3
13,Data,4,33,3
14,Python,2,1,3
15,Python,4,57,1
16,Web,2,23,3
17,Cloud,2,7,2
18,Python,1,60,1
19,ML,2,1,2
20,Data,4,69,1
21,Data,3,9,1
22,Data,3,19,3
23,Cloud,4,24,2
24,ML,1,24,3
25,Data,1,36,2
26,Cloud,4,25,1
27,Data,2,66,2
28,Python,3,61,1
29,Data,4,33,1
30,Cloud,5,48,3
31,Cloud,3,17,1
32,ML,4,59,3
33,Python,5,51,2
34,Data,3,27,2
35,Cloud,5,30,1
36,Cloud,4,64,1
37,Web,5,61,3
38,ML,4,35,1
39,Data,1,44,2
40,Cloud,5,46,1
41,Data,3,37,1
42,Python,1,46,1
43,Data,3,60,1
44,Data,4,63,1
45,Data,5,32,3
46,Web,1,67,2
47,Data,1,54,2
48,Python,3,46,2
49,Data,2,27,2
50,ML,2,17,1
51,Python,1,43,2
52,Cloud,5,42,3
53,Python,2,50,1
54,Web,5,60,2
55,Web,1,36,1
56,Cloud,4,65,2
57,Python,4,15,2
58,Web,2,32,3
59,ML,3,25,2
60,Cloud,5,22,2
61,Data,2,49,2
62,ML,3,60,1
63,Python,1,8,1
64,Cloud,4,5,3
65,Cloud,4,6,1
66,Cloud,4,47,3
67,Web,4,16,1
68,Python,2,30,3
69,Python,1,63,3
70,Data,4,58,3
71,Python,2,62,3
72,Web,1,12,1
73,ML,1,58,2
74,Cloud,1,34,2
75,Python,1,1,1
76,Python,5,22,1
77,Python,3,26,3
78,Cloud,5,57,1
79,Cloud,4,69,3
80,Web,1,62,1
81,Cloud,4,16,2
82,ML,2,48,1
83,ML,4,33,2
84,Cloud,5,23,2
85,Cloud,2,69,2
86,ML,4,10,2
87,Cloud,3,58,1
88,Web,5,4,3
89,ML,2,32,3
90,Data,4,24,2
91,Web,3,33,1
92,Python,5,51,3
93,Data,5,12,3
94,ML,1,33,2
95,Data,3,44,1
96,Data,5,12,3
97,Python,2,35,3
98,Python,1,8,1
99,Web,2,34,3
100,Cloud,1,7,2
101,Python,5,29,1
102,ML,5,36,2
103,Web,5,24,3
104,Web,1,36,2
105,Cloud,1,24,3
106,ML,5,12,1
107,Web,5,23,1
108,Web,3,30,1
109,Cloud,1,62,1
110,ML,5,59,3
111,Web,1,12,1
112,Web,1,19,1
113,Cloud,4,52,3
114,Data,2,16,1
115,ML,5,12,1
116,ML,4,53,3
117,Web,1,39,1
118,Python,5,42,2
119,Web,2,5,3
120,Cloud,5,18,3
121,Python,4,9,2
122,Web,2,17,1
123,Data,5,40,2
124,Python,1,50,3
125,Data,2,66,1
126,Web,5,37,2
127,Web,3,8,1
128,Web,1,17,3
129,Cloud,1,45,2
130,Python,4,31,3
131,Web,5,54,3
132,Web,3,19,3
133,Cloud,3,45,1
134,Web,2,58,1
135,Python,1,39,1
136,Web,3,62,1
137,Data,4,25,1
138,Python,5,6,2
139,Cloud,4,45,1
140,Python,5,47,1
141,ML,5,36,3
142,Data,3,20,1
143,ML,2,47,1
144,Python,1,14,3
145,Data,1,54,2
146,Cloud,3,16,3
147,Python,1,12,2
148,Python,4,24,1
149,Data,2,36,2
150,Python,2,60,2
151,Data,4,41,3
152,Data,1,33,1
153,Python,4,29,1
154,Web,3,6,2
155,ML,3,69,3
156,Data,1,66,2
157,Python,2,5,3
158,Data,1,65,2
159,Python,1,11,1
160,Python,2,63,1
161,ML,3,27,1
162,Cloud,5,33,2
163,Cloud,1,1,1
164,Python,4,69,3
165,Data,5,3,1
166,Cloud,5,53,1
167,Data,2,17,1
168,Cloud,1,1,3
169,Web,5,4,2
170,Web,1,32,2
171,Python,4,39,2
172,Web,2,34,2
173,Cloud,3,50,1
174,Cloud,4,5,2
175,Web,3,57,1
176,Cloud,5,14,2
177,Data,3,51,3
178,Cloud,4,38,2
179,ML,2,30,3
180,ML,3,51,3
181,Python,2,52,1
182,Data,1,30,3
183,ML,2,51,1
184,Python,5,29,2
185,Web,1,17,1
186,Data,2,6,1
187,Data,2,43,3
188,Cloud,3,23,3
189,Cloud,3,16,1
190,ML,3,67,3
191,Python,5,32,2
192,Web,5,51,3
193,ML,5,5,2
194,Python,4,42,1
195,Cloud,5,70,1
196,Data,5,12,2
197,Python,2,49,2
198,ML,2,45,3
199,ML,1,26,1
